HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
VfL Osnabrück,FC Rot-Weiss Erfurt,2,3,2012-02-04T14:00:00,a
VfR Aalen,Jahn Regensburg,2,1,2012-02-04T14:00:00,h
SV Darmstadt 98,SV Wehen Wiesbaden,0,1,2012-02-04T14:00:00,a
Chemnitzer FC,SpVgg Unterhaching,5,1,2012-02-04T14:00:00,h
Rot-Weiss Oberhausen,Kickers Offenbach,1,1,2012-02-04T14:00:00,d
Werder Bremen II,1. FC Saarbrücken,2,2,2012-02-05T14:00:00,d
VfB Stuttgart II,Wacker Burghausen,2,3,2012-02-28T19:00:00,a
FC Carl Zeiss Jena,1. FC Heidenheim 1846,0,0,2012-02-28T19:00:00,d
Preußen Münster,Werder Bremen II,0,0,2012-02-10T19:00:00,d
1. FC Saarbrücken,VfB Stuttgart II,0,0,2012-02-11T14:00:00,d
1. FC Heidenheim 1846,SV Babelsberg 03,5,0,2012-02-11T14:00:00,h
SV Wehen Wiesbaden,Arminia Bielefeld,0,0,2012-02-21T19:00:00,d
FC Rot-Weiss Erfurt,VfR Aalen,0,1,2012-02-28T19:00:00,a
SV Sandhausen,Chemnitzer FC,0,3,2012-03-07T18:30:00,a
Wacker Burghausen,VfL Osnabrück,2,0,2012-03-07T19:00:00,h
Jahn Regensburg,SV Darmstadt 98,2,1,2012-03-13T19:00:00,a
SpVgg Unterhaching,Rot-Weiss Oberhausen,1,2,2012-03-14T19:00:00,d
Kickers Offenbach,FC Carl Zeiss Jena,1,1,2012-03-20T19:00:00,d
VfL Osnabrück,1. FC Saarbrücken,2,0,2012-02-17T19:00:00,h
SV Wehen Wiesbaden,SV Sandhausen,0,4,2012-02-18T14:00:00,a
VfR Aalen,Wacker Burghausen,2,0,2012-02-18T14:00:00,h
Arminia Bielefeld,Jahn Regensburg,1,1,2012-02-18T14:00:00,d
Rot-Weiss Oberhausen,Chemnitzer FC,2,2,2012-02-18T14:00:00,d
FC Carl Zeiss Jena,SpVgg Unterhaching,2,0,2012-02-22T19:00:00,h
VfB Stuttgart II,Preußen Münster,1,1,2012-03-13T19:00:00,d
Werder Bremen II,1. FC Heidenheim 1846,2,1,2012-03-14T19:00:00,d
SV Babelsberg 03,Kickers Offenbach,0,1,2012-03-27T19:00:00,a
SV Darmstadt 98,FC Rot-Weiss Erfurt,1,1,2012-03-28T18:30:00,d
1. FC Heidenheim 1846,VfB Stuttgart II,1,0,2012-02-25T14:00:00,h
Kickers Offenbach,Werder Bremen II,3,0,2012-02-25T14:00:00,h
SpVgg Unterhaching,SV Babelsberg 03,1,2,2012-02-25T14:00:00,a
Chemnitzer FC,FC Carl Zeiss Jena,1,1,2012-02-25T14:00:00,h
SV Sandhausen,Rot-Weiss Oberhausen,2,1,2012-02-25T14:00:00,d
Jahn Regensburg,SV Wehen Wiesbaden,2,1,2012-02-25T14:00:00,h
FC Rot-Weiss Erfurt,Arminia Bielefeld,1,1,2012-02-25T14:00:00,d
Wacker Burghausen,SV Darmstadt 98,1,1,2012-02-25T14:00:00,h
1. FC Saarbrücken,VfR Aalen,4,2,2012-03-13T19:00:00,h
Preußen Münster,VfL Osnabrück,1,0,2012-04-03T18:30:00,h
Jahn Regensburg,SV Sandhausen,1,1,2012-03-03T14:00:00,d
VfR Aalen,Preußen Münster,1,0,2012-03-03T14:00:00,h
Arminia Bielefeld,Wacker Burghausen,2,2,2012-03-03T14:00:00,d
SV Wehen Wiesbaden,FC Rot-Weiss Erfurt,0,1,2012-03-03T14:00:00,a
FC Carl Zeiss Jena,Rot-Weiss Oberhausen,0,0,2012-03-03T14:00:00,d
SV Babelsberg 03,Chemnitzer FC,0,0,2012-03-03T14:00:00,d
Werder Bremen II,SpVgg Unterhaching,1,1,2012-03-03T14:00:00,d
VfB Stuttgart II,Kickers Offenbach,0,0,2012-03-03T14:00:00,d
VfL Osnabrück,1. FC Heidenheim 1846,0,0,2012-03-03T14:00:00,d
SV Darmstadt 98,1. FC Saarbrücken,1,0,2012-03-04T14:00:00,h
Kickers Offenbach,VfL Osnabrück,3,0,2012-03-10T14:00:00,h
SpVgg Unterhaching,VfB Stuttgart II,4,0,2012-03-10T14:00:00,h
Chemnitzer FC,Werder Bremen II,2,0,2012-03-10T14:00:00,h
Rot-Weiss Oberhausen,SV Babelsberg 03,1,0,2012-03-10T14:00:00,h
SV Sandhausen,FC Carl Zeiss Jena,1,0,2012-03-10T14:00:00,h
FC Rot-Weiss Erfurt,Jahn Regensburg,2,2,2012-03-10T14:00:00,d
Wacker Burghausen,SV Wehen Wiesbaden,2,2,2012-03-10T14:00:00,a
1. FC Saarbrücken,Arminia Bielefeld,2,4,2012-03-10T14:00:00,d
Preußen Münster,SV Darmstadt 98,1,2,2012-03-10T14:00:00,h
1. FC Heidenheim 1846,VfR Aalen,3,1,2012-03-10T14:00:00,h
FC Rot-Weiss Erfurt,SV Sandhausen,4,2,2012-03-17T14:00:00,h
Arminia Bielefeld,Preußen Münster,2,2,2012-03-17T14:00:00,d
SV Wehen Wiesbaden,1. FC Saarbrücken,3,2,2012-03-17T14:00:00,h
Jahn Regensburg,Wacker Burghausen,0,1,2012-03-17T14:00:00,a
SV Babelsberg 03,FC Carl Zeiss Jena,0,0,2012-03-17T14:00:00,d
Werder Bremen II,Rot-Weiss Oberhausen,0,1,2012-03-17T14:00:00,a
VfB Stuttgart II,Chemnitzer FC,0,1,2012-03-17T14:00:00,a
VfL Osnabrück,SpVgg Unterhaching,4,1,2012-03-17T14:00:00,h
VfR Aalen,Kickers Offenbach,2,1,2012-03-17T14:00:00,h
SV Darmstadt 98,1. FC Heidenheim 1846,2,1,2012-03-17T14:00:00,h
Chemnitzer FC,VfL Osnabrück,3,1,2012-03-24T14:00:00,a
Rot-Weiss Oberhausen,VfB Stuttgart II,2,1,2012-03-24T14:00:00,h
FC Carl Zeiss Jena,Werder Bremen II,3,1,2012-03-24T14:00:00,h
SV Sandhausen,SV Babelsberg 03,4,0,2012-03-24T14:00:00,h
Wacker Burghausen,FC Rot-Weiss Erfurt,1,1,2012-03-24T14:00:00,d
1. FC Saarbrücken,Jahn Regensburg,1,0,2012-03-24T14:00:00,h
Arminia Bielefeld,Alemannia Aachen,1,1,2012-07-20T20:15:00,h
Wacker Burghausen,Preußen Münster,0,2,2012-07-21T14:00:00,a
VfL Osnabrück,Borussia Dortmund II,2,0,2012-07-21T14:00:00,h
Hallescher FC,Kickers Offenbach,1,0,2012-07-21T14:00:00,d
FC Hansa Rostock,Stuttgarter Kickers,2,1,2012-07-21T14:00:00,d
SV Wehen Wiesbaden,Rot-Weiß Erfurt,3,1,2012-07-21T14:00:00,a
SV Darmstadt 98,SpVgg Unterhaching,0,0,2012-07-21T14:00:00,d
Chemnitzer FC,SV Babelsberg 03,1,0,2012-07-21T14:00:00,h
VfB Stuttgart II,1. FC Saarbrücken,0,1,2012-07-21T14:15:00,d
1. FC Heidenheim 1846,Karlsruher SC,2,2,2012-07-21T16:00:00,a
SV Babelsberg 03,SV Darmstadt 98,2,0,2012-07-28T14:00:00,h
SpVgg Unterhaching,FC Hansa Rostock,3,0,2012-07-28T14:00:00,h
Stuttgarter Kickers,SV Wehen Wiesbaden,0,0,2012-07-28T14:00:00,d
Rot-Weiß Erfurt,1. FC Heidenheim 1846,0,4,2012-07-28T14:00:00,a
Karlsruher SC,Hallescher FC,0,0,2012-07-28T14:00:00,d
Kickers Offenbach,VfB Stuttgart II,1,3,2012-07-28T14:00:00,a
1. FC Saarbrücken,VfL Osnabrück,0,1,2012-07-28T14:00:00,d
Borussia Dortmund II,Arminia Bielefeld,1,1,2012-07-28T14:00:00,d
Alemannia Aachen,Wacker Burghausen,3,2,2012-07-28T14:00:00,h
Preußen Münster,Chemnitzer FC,1,0,2012-07-28T14:00:00,h
SV Wehen Wiesbaden,SpVgg Unterhaching,0,2,2012-08-03T19:00:00,d
SV Darmstadt 98,Preußen Münster,2,1,2012-08-03T19:00:00,h
Alemannia Aachen,Borussia Dortmund II,1,1,2012-08-03T19:00:00,a
Arminia Bielefeld,1. FC Saarbrücken,3,2,2012-08-03T19:00:00,h
Wacker Burghausen,Chemnitzer FC,2,1,2012-08-04T14:00:00,a
VfB Stuttgart II,Karlsruher SC,2,0,2012-08-04T14:00:00,h
Hallescher FC,Rot-Weiß Erfurt,3,0,2012-08-04T14:00:00,h
