SC Freiburg,Hannover 96,3,1,2013-04-12T20:30:00
FC Bayern,1. FC Nürnberg,4,0,2013-04-13T15:30:00
VfL Wolfsburg,TSG 1899 Hoffenheim,2,2,2013-04-13T15:30:00
1. FSV Mainz 05,Hamburger SV,1,2,2013-04-13T15:30:00
SpVgg Greuther Fürth,Borussia Dortmund,1,6,2013-04-13T15:30:00
Fortuna Düsseldorf,Werder Bremen,2,2,2013-04-13T15:30:00
FC Schalke 04,Bayer Leverkusen,2,2,2013-04-13T18:30:00
VfB Stuttgart,Borussia Mönchengladbach,2,0,2013-04-14T15:30:00
FC Augsburg,Eintracht Frankfurt,2,0,2013-04-14T17:30:00
Borussia Mönchengladbach,FC Augsburg,1,0,2013-04-19T20:30:00
Borussia Dortmund,1. FSV Mainz 05,2,0,2013-04-20T15:30:00
Hannover 96,FC Bayern,1,6,2013-04-20T15:30:00
Hamburger SV,Fortuna Düsseldorf,2,1,2013-04-20T15:30:00
Eintracht Frankfurt,FC Schalke 04,1,0,2013-04-20T15:30:00
Bayer Leverkusen,TSG 1899 Hoffenheim,5,0,2013-04-20T15:30:00
Werder Bremen,VfL Wolfsburg,0,3,2013-04-20T18:30:00
VfB Stuttgart,SC Freiburg,2,1,2013-04-21T15:30:00
1. FC Nürnberg,SpVgg Greuther Fürth,0,1,2013-04-21T17:30:00
SpVgg Greuther Fürth,Hannover 96,1,1,2013-04-26T20:30:00
Bayer Leverkusen,Werder Bremen,1,0,2013-04-27T15:30:00
TSG 1899 Hoffenheim,1. FC Nürnberg,2,1,2013-04-27T15:30:00
FC Bayern,SC Freiburg,1,0,2013-04-27T15:30:00
VfL Wolfsburg,Borussia Mönchengladbach,3,1,2013-04-27T15:30:00
FC Augsburg,VfB Stuttgart,3,0,2013-04-27T15:30:00
Fortuna Düsseldorf,Borussia Dortmund,1,2,2013-04-27T18:30:00
1. FSV Mainz 05,Eintracht Frankfurt,0,0,2013-04-28T15:30:00
FC Schalke 04,Hamburger SV,4,1,2013-04-28T17:30:00
Borussia Mönchengladbach,FC Schalke 04,0,1,2013-05-03T20:30:00
1. FC Nürnberg,Bayer Leverkusen,0,2,2013-05-04T15:30:00
Werder Bremen,TSG 1899 Hoffenheim,2,2,2013-05-04T15:30:00
Hannover 96,1. FSV Mainz 05,2,2,2013-05-04T15:30:00
VfB Stuttgart,SpVgg Greuther Fürth,0,2,2013-05-04T15:30:00
Eintracht Frankfurt,Fortuna Düsseldorf,3,1,2013-05-04T15:30:00
Borussia Dortmund,FC Bayern,1,1,2013-05-04T18:30:00
SC Freiburg,FC Augsburg,2,0,2013-05-05T15:30:00
Hamburger SV,VfL Wolfsburg,1,1,2013-05-05T17:30:00
1. FSV Mainz 05,Borussia Mönchengladbach,2,4,2013-05-11T15:30:00
FC Schalke 04,VfB Stuttgart,1,2,2013-05-11T15:30:00
Bayer Leverkusen,Hannover 96,3,1,2013-05-11T15:30:00
Fortuna Düsseldorf,1. FC Nürnberg,1,2,2013-05-11T15:30:00
SpVgg Greuther Fürth,SC Freiburg,1,2,2013-05-11T15:30:00
FC Bayern,FC Augsburg,3,0,2013-05-11T15:30:00
TSG 1899 Hoffenheim,Hamburger SV,1,4,2013-05-11T15:30:00
VfL Wolfsburg,Borussia Dortmund,3,3,2013-05-11T15:30:00
Werder Bremen,Eintracht Frankfurt,1,1,2013-05-11T15:30:00
Borussia Mönchengladbach,FC Bayern,3,4,2013-05-18T15:30:00
Hannover 96,Fortuna Düsseldorf,3,0,2013-05-18T15:30:00
SC Freiburg,FC Schalke 04,1,2,2013-05-18T15:30:00
Hamburger SV,Bayer Leverkusen,0,1,2013-05-18T15:30:00
Eintracht Frankfurt,VfL Wolfsburg,2,2,2013-05-18T15:30:00
1. FC Nürnberg,Werder Bremen,0,1,2013-05-18T15:30:00
Borussia Dortmund,TSG 1899 Hoffenheim,1,2,2013-05-18T15:30:00
VfB Stuttgart,1. FSV Mainz 05,2,2,2013-05-18T15:30:00
FC Augsburg,SpVgg Greuther Fürth,3,1,2013-05-18T15:30:00
